Release Date,Product Family,Product,Platform,Impact,Max Severity,Article,Article,Supercedence,Base Score
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012 (Server Core installation),Remote Code Execution,Important,5021092,https://support.microsoft.com/help/5021092,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012 (Server Core installation),Remote Code Execution,Important,5021080,https://support.microsoft.com/help/5021080,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012,Remote Code Execution,Important,5021092,https://support.microsoft.com/help/5021092,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012,Remote Code Execution,Important,5021080,https://support.microsoft.com/help/5021080,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012 R2,Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows Server 2012 R2,Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows 8.1 for 32-bit systems,Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows 8.1 for 32-bit systems,Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows 8.1 for x64-based systems,Remote Code Execution,Important,5021093,https://support.microsoft.com/help/5021093,"5020690, 5018549",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.5,Windows 8.1 for x64-based systems,Remote Code Execution,Important,5021081,https://support.microsoft.com/help/5021081,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.0 Service Pack 2,Windows Server 2008 for 32-bit Systems Service Pack 2,Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.0 Service Pack 2,Windows Server 2008 for 32-bit Systems Service Pack 2,Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.0 Service Pack 2,Windows Server 2008 for x64-based Systems Service Pack 2,Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 3.0 Service Pack 2,Windows Server 2008 for x64-based Systems Service Pack 2,Remote Code Execution,Important,5021082,https://support.microsoft.com/help/5021082,,7.8
"Dec 13, 2022",Developer Tools,Microsoft .NET Framework 2.0 Service Pack 2,Windows Server 2008 for x64-based Systems Service Pack 2,Remote Code Execution,Important,5021094,https://support.microsoft.com/help/5021094,"5020691, 5018550",7.8
